gamme acceleration : +-param[0]g ;    frequence echantillonnage : param[1]Hz
t(s);Ax(m/s2);Ay(m/s2);Az(m/s2);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,0;-0,83984375;-0,51171875;-0,67041015625;0,0;0,0698889907526;0,141898018973;1,31474709024
0,005;-1,0;-0,69970703125;-0,69384765625;0,511508951407;0,0607533514956;0,068268862698;0,0174372856927
0,01;-1,0;-0,8671875;-0,734375;1,02301790281;0,0385887065208;0,027007910891;0,0250929159002
0,015;-1,0;-0,92041015625;-0,767578125;1,53452685422;0,0418658609098;0,0248936923387;0,00399918535135
0,02;-1,0;-0,890625;-0,88671875;2,04603580563;0,0578373784536;0,0333389083615;0,00478608058445
0,025;-1,0;-0,90185546875;-1,0;2,55754475703;0,0536254381944;0,0435772677106;0,00177740335823
0,03;-0,88232421875;-0,85009765625;-0,9228515625;3,06905370844;0,0550886680557;0,036284014078;0,00570494630597
0,035;-0,7568359375;-0,3759765625;-0,52294921875;3,58056265985;0,0955941667661;0,0481493951989;0,00861665199452
0,04;-0,59765625;0,1796875;-0,38671875;4,09207161125;0,0800607367241;0,0481538632909;0,00612884702972
0,045;-0,34033203125;0,42578125;-0,36669921875;4,60358056266;0,0658711712218;0,0563285396365;0,00356036448855
0,05;-0,0703125;0,4873046875;-0,37548828125;5,11508951407;0,119628851021;0,0911647060538;0,0360797160898
0,055;0,1669921875;0,50390625;-0,45556640625;5,62659846547;0,180931491859;0,124981537222;0,0241122221371
0,06;0,34716796875;0,55419921875;-0,47509765625;6,13810741688;0,204736886767;0,148234669266;0,0300933774153
0,065;0,54296875;0,53466796875;-0,478515625;6,64961636829;0,771301385579;0,5208037268;0,108617748823
0,07;0,734375;0,43701171875;-0,6298828125;7,16112531969;0,360416425556;0,227610680692;0,00578622785412
0,075;0,84375;0,36279296875;-0,70947265625;7,6726342711;0,251301235105;0,155699005838;0,0380751838638
