gamme acceleration : +-2g ;    frequence echantillonnage : 200Hz
t(s);Ax(m/s2);Ay(m/s2);Az(m/s2);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,0;-0,8369140625;-0,306640625;0,54296875;0,0;0,718823610239;1,27076790201;0,794548916457
0,005;-0,87890625;-0,328125;0,5029296875;0,503778337531;0,298463057381;0,122618881954;0,15475522471
0,01;-0,8828125;-0,40234375;0,4755859375;1,00755667506;0,160357299651;0,0855917704626;0,0283074309974
0,015;-0,9755859375;-0,3720703125;0,3779296875;1,51133501259;0,201080779915;0,0407637838693;0,0454440832049
0,02;-1,1865234375;-0,234375;0,3466796875;2,01511335013;0,10092283003;0,0464755149136;0,0167892951963
0,025;-1,1640625;-0,2197265625;0,3623046875;2,51889168766;0,0548278865047;0,00690697255643;0,00912598935926
0,03;-1,0224609375;-0,2724609375;0,34375;3,02267002519;0,0922625391334;0,0198897852922;0,0540793465866
0,035;-0,9677734375;-0,337890625;0,3388671875;3,52644836272;0,0610419172158;0,0155823515293;0,0744803337797
0,04;-0,9287109375;-0,4365234375;0,4052734375;4,03022670025;0,162056190127;0,0362805531333;0,0780251579656
0,045;-0,8203125;-0,4658203125;0,4677734375;4,53400503778;0,157248541246;0,0895480200176;0,0245082180767
0,05;-0,748046875;-0,42578125;0,5712890625;5,03778337531;0,204625267668;0,0222673253177;0,137086566612
0,055;-0,7822265625;-0,3603515625;0,7177734375;5,54156171285;0,0529711638752;0,0190602757708;0,111138513932
0,06;-0,8583984375;-0,298828125;0,7841796875;6,04534005038;0,106914886011;0,0408104808914;0,0455417171408
0,065;-0,87890625;-0,2470703125;0,8349609375;6,54911838791;0,567006918066;0,111448096627;0,0713197010073
0,07;-0,8603515625;-0,224609375;0,880859375;7,05289672544;1,29223478985;0,19319981294;0,541616544251
0,075;-0,8408203125;-0,23046875;0,8447265625;7,55667506297;1,3347185968;0,282556044911;0,307925309051
0,08;-0,87890625;-0,2890625;0,7578125;8,0604534005;0,382205407383;0,113544363246;0,213443804665
0,085;-0,9306640625;-0,3583984375;0,6650390625;8,56423173804;0,0938827641474;0,121051488321;0,0597981636636
0,09;-0,9541015625;-0,4267578125;0,609375;9,06801007557;0,12566547025;0,0400031678353;0,0937017715848
0,095;-0,8603515625;-0,462890625;0,5771484375;9,5717884131;0,177550318509;0,0625725411555;0,122067456902
0,1;-0,7470703125;-0,49609375;0,560546875;10,0755667506;0,139728133613;0,0396629749607;0,0662325649003
0,105;-0,7333984375;-0,4931640625;0,5390625;10,5793450882;0,111983025347;0,124094943284;0,0685514972557
