gamme acceleration : +-2g ;    frequence echantillonnage : 200Hz
t(s);Ax(g);Ay(g);Az(g);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,0;0,002;-0,006;0,001;0,0;0,003;0,001;0,0
0,004;0,003;-0,002;0,0;0,784;0,0;0,001;0,0
0,009;0,002;0,002;-0,001;1,568;0,001;0,0;0,001
0,014;0,006;0,002;0,003;2,352;0,001;0,001;0,0
0,019;0,006;-0,002;0,0;3,137;0,0;0,0;0,0
0,024;0,002;-0,004;0,003;3,921;0,001;0,0;0,0
0,029;-0,002;0,0;0,001;4,705;0,0;0,0;0,0
0,034;0,008;-0,009;-0,003;5,49;0,0;0,0;0,0
0,039;0,002;-0,005;0,006;6,274;0,001;0,001;0,001
0,044;-0,004;0,001;0,008;7,058;0,0;0,0;0,001
0,049;-0,002;0,001;-0,001;7,843;0,0;0,001;0,0
0,054;0,002;-0,002;0,0;8,627;0,0;0,0;0,0
0,059;0,006;-0,005;-0,001;9,411;0,0;0,0;0,001
0,064;0,002;-0,002;0,001;10,196;0,0;0,0;0,0
0,069;0,003;0,006;-0,003;10,98;0,001;0,0;0,0
0,074;-0,002;-0,009;0,013;11,764;0,0;0,0;0,001
0,079;0,002;-0,005;0,007;12,549;0,0;0,001;0,0
0,084;0,002;-0,002;0,0;13,333;0,0;0,0;0,001
0,089;-0,018;0,001;0,008;14,117;0,001;0,001;0,0
0,094;0,009;0,002;0,007;14,901;0,0;0,0;0,0
0,099;0,002;0,002;-0,008;15,686;0,0;0,0;0,001
0,104;0,002;-0,006;-0,001;16,47;0,0;0,0;0,001
0,109;0,006;-0,004;0,0;17,254;0,0;0,0;0,0
0,114;0,001;-0,001;0,0;18,039;0,0;0,0;0,0
0,119;0,0;-0,001;0,0;18,823;0,0;0,0;0,001
0,124;0,011;-0,006;0,0;19,607;0,0;0,0;0,0
0,129;0,002;0,001;-0,003;20,392;0,0;0,0;0,001
0,134;0,002;-0,004;0,0;21,176;0,0;0,0;0,001
0,139;0,002;-0,001;-0,002;21,96;0,001;0,0;0,001
0,145;0,001;0,001;-0,001;22,745;0,0;0,0;0,0
0,149;0,002;0,001;0,0;23,529;0,0;0,0;0,0
0,154;0,002;0,0;0,0;24,313;0,0;0,0;0,001
0,159;0,009;-0,001;0,015;25,098;0,0;0,0;0,001
0,164;0,014;-0,002;0,006;25,882;0,0;0,0;0,0
0,169;0,002;-0,001;0,006;26,666;0,0;0,0;0,0
0,174;0,002;0,002;0,007;27,45;0,0;0,0;0,0
0,179;0,006;-0,004;0,011;28,235;0,0;0,0;0,0
0,184;0,0;0,0;0,008;29,019;0,0;0,0;0,0
0,189;0,0;-0,004;0,003;29,803;0,0;0,0;0,0
0,194;0,001;0,0;0,007;30,588;0,0;0,0;0,0
0,199;-0,006;-0,002;0,0;31,372;0,0;0,0;0,0
0,204;0,002;-0,003;0,0;32,156;0,0;0,0;0,0
0,209;-0,002;-0,002;0,0;32,941;0,0;0,0;0,0
0,214;0,003;-0,002;0,007;33,725;0,001;0,001;0,0
0,219;0,002;0,001;0,001;34,509;0,0;0,0;0,0
0,224;0,002;0,001;0,0;35,294;0,0;0,0;0,0
0,229;0,008;0,002;-0,009;36,078;0,0;0,0;0,0
0,234;0,009;-0,002;0,007;36,862;0,0;0,001;0,0
0,239;0,002;0,002;0,006;37,647;0,0;0,0;0,0
0,244;0,001;0,006;0,003;38,431;0,0;0,001;0,0
0,249;0,018;0,012;-0,008;39,215;0,0;0,0;0,001
0,254;0,003;-0,002;0,011;40,0;0,0;0,0;0,001
0,259;0,001;-0,002;0,0;40,784;0,0;0,0;0,0
0,264;0,002;-0,001;-0,007;41,568;0,0;0,0;0,0
0,269;-0,003;-0,014;0,0;42,352;0,0;0,0;0,0
0,274;-0,007;0,001;0,007;43,137;0,0;0,0;0,0
0,279;0,002;0,002;0,011;43,921;0,0;0,0;0,0
0,285;0,003;-0,006;0,007;44,705;0,0;0,0;0,0
0,29;0,003;0,0;0,003;45,49;0,0;0,0;0,0
0,294;0,003;-0,005;0,003;46,274;0,0;0,0;0,0
0,299;0,001;-0,001;-0,004;47,058;0,0;0,0;0,0
0,304;-0,007;0,01;-0,007;47,843;0,0;0,0;0,0
0,309;0,0;0,001;-0,007;48,627;0,0;0,0;0,0
0,314;0,002;-0,004;0,0;49,411;0,0;0,0;0,0
0,319;-0,002;-0,006;0,003;50,196;0,0;0,0;0,001
0,324;0,006;-0,005;0,001;50,98;0,0;0,0;0,0
0,329;0,001;-0,002;0,003;51,764;0,0;0,0;0,0
0,334;-0,002;-0,002;0,003;52,549;0,0;0,0;0,0
0,339;0,001;-0,001;0,018;53,333;0,001;0,0;0,0
0,345;-0,006;0,005;-0,001;54,117;0,0;0,0;0,0
0,349;-0,001;-0,002;0,0;54,901;0,0;0,0;0,0
0,354;0,002;-0,001;0,001;55,686;0,0;0,0;0,0
0,359;-0,005;0,006;-0,008;56,47;0,0;0,0;0,0
0,364;-0,006;0,008;-0,008;57,254;0,001;0,0;0,0
0,369;-0,002;0,002;0,0;58,039;0,0;0,0;0,0
0,374;0,0;0,005;-0,007;58,823;0,0;0,0;0,0
0,379;0,002;0,002;-0,016;59,607;0,0;0,0;0,0
0,384;-0,002;0,002;-0,012;60,392;0,0;0,0;0,001
0,389;0,001;-0,001;-0,004;61,176;0,0;0,0;0,0
0,394;0,001;0,002;0,007;61,96;0,0;0,0;0,0
0,399;0,005;-0,002;0,0;62,745;0,0;0,0;0,0
0,404;0,002;0,0;-0,003;63,529;0,0;0,0;0,0
0,409;-0,001;-0,018;0,0;64,313;0,0;0,0;0,0
0,414;-0,002;-0,002;0,003;65,098;0,0;0,0;0,0
0,419;0,002;-0,002;0,003;65,882;0,0;0,0;0,0
0,424;0,001;-0,001;0,007;66,666;0,001;0,0;0,0
0,429;0,01;-0,006;-0,019;67,45;0,0;0,0;0,0
