gamme acceleration : +-2g ;    frequence echantillonnage : 400Hz ;   Nombre de triplets [x,y,z] : 128t(s);Ax(g);Ay(g);Az(g);F(Hz);TF(Ax);TF(Ay);TF(Az)
0,0;-0,005;-0,014;-0,003;0,0;0,003;0,028;0,056
0,002;-0,039;-0,004;-0,034;13,333;0,065;0,025;0,039
0,005;-0,033;-0,004;-0,019;26,666;0,187;0,015;0,07
0,007;-0,01;-0,001;-0,029;40,0;0,287;0,022;0,129
0,01;-0,003;0,005;-0,007;53,333;0,308;0,028;0,152
0,012;0,013;-0,002;0,012;66,666;0,183;0,018;0,14
0,015;0,027;-0,011;0,038;80,0;0,043;0,005;0,089
0,017;0,017;0,004;0,022;93,333;0,066;0,018;0,11
0,02;-0,018;0,004;0,003;106,666;0,11;0,032;0,165
0,022;-0,011;-0,009;-0,012;120,0;0,101;0,061;0,198
0,025;-0,011;-0,004;0,01;133,333;0,092;0,082;0,181
0,027;-0,02;0,0;-0,001;146,666;0,093;0,087;0,123
0,03;0,008;0,012;-0,004;160,0;0,123;0,074;0,051
0,032;0,031;0,004;0,007;173,333;0,143;0,047;0,07
0,035;0,018;0,007;0,014;186,666;0,143;0,026;0,125
0,037;0,001;0,011;-0,007;;;;
0,04;-0,006;0,005;-0,004;;;;
0,042;-0,013;0,007;-0,015;;;;
0,045;-0,029;-0,002;0,007;;;;
0,047;0,016;0,021;-0,062;;;;
0,05;0,246;0,032;-0,125;;;;
0,052;0,477;-0,098;-0,195;;;;
0,055;0,393;-0,045;-0,325;;;;
0,057;0,254;-0,01;0,117;;;;
0,06;-1,6;-0,405;0,791;;;;
0,062;-0,195;0,269;-0,589;;;;
0,065;-1,061;-0,018;0,791;;;;
0,067;-0,416;-0,292;0,174;;;;
0,07;0,388;0,331;-0,765;;;;
0,072;0,859;-0,05;-1,128;;;;
0,075;0,671;-0,183;0,463;;;;
